"ID","PAGE_CODE","COMPONENT_KEY","COMPONENT_TYPE","PARENT_KEY","COMPONENT_CONFIG","REF_TABLE_CODE","SLOT_NAME","SORT_ORDER","DELETED","DESCRIPTION","CREATE_TIME","UPDATE_TIME","CREATE_BY","UPDATE_BY"
"123","goods-manage","root","LAYOUT","","{""direction"":""vertical""}","","","0","0","","29-JAN-26 05.12.14.776000 PM","29-JAN-26 05.12.14.776000 PM","system",""
"124","goods-manage","grid","GRID","root","{""height"":""100%""}","CostGoods","","1","0","","29-JAN-26 05.12.14.808000 PM","29-JAN-26 05.12.14.808000 PM","system",""
"5","user-manage","masterGrid","GRID","","","CostUser","","0","0","","26-JAN-26 09.53.12.347000 AM","26-JAN-26 09.53.12.347000 AM","system",""
"6","dept-manage","masterGrid","GRID","","","CostDepartment","","0","0","","26-JAN-26 09.53.12.387000 AM","26-JAN-26 09.53.12.387000 AM","system",""
"84","customer-manage","masterGrid","GRID","root","{""height"":""50%"",""selectionMode"":""single""}","CostCustomer","","1","0","","26-JAN-26 05.41.09.937000 PM","26-JAN-26 05.41.09.937000 PM","system",""
"85","customer-manage","detailTabs","TABS","root","{""mode"":""single"",""tabs"":[{""key"":""tranposer"",""title"":""分销商"",""tableCode"":""CostTranposer""}]}","","","2","0","","26-JAN-26 05.41.09.973000 PM","26-JAN-26 05.41.09.973000 PM","system",""
"126","goods-price-manage","grid","GRID","root","{""height"":""100%""}","CostGoodsPrice","","1","0","","29-JAN-26 05.25.31.187000 PM","29-JAN-26 05.25.31.187000 PM","system",""
"83","customer-manage","root","LAYOUT","","{""direction"":""vertical"",""gap"":8}","","","0","0","","26-JAN-26 05.41.09.869000 PM","26-JAN-26 05.41.09.869000 PM","system",""
"113","cost-pinggu","root","LAYOUT","","{""direction"":""vertical"",""gap"":8}","","","0","0","","28-JAN-26 05.27.15.218000 PM","28-JAN-26 05.27.15.218000 PM","system",""
"114","cost-pinggu","masterGrid","GRID","root","{""height"":""50%"",""selectionMode"":""single""}","CostPinggu","","1","0","","28-JAN-26 05.27.15.537000 PM","28-JAN-26 05.27.15.537000 PM","system",""
"115","cost-pinggu","detailTabs","TABS","root","{""mode"":""multi"",""tabs"":[{""key"":""material"",""title"":""原料/辅料"",""tableCode"":""CostMaterial""},{""key"":""package"",""title"":""包材"",""tableCode"":""CostPackage""}]}","","","2","0","","28-JAN-26 05.27.15.835000 PM","28-JAN-26 05.27.15.835000 PM","system",""
"125","goods-price-manage","root","LAYOUT","","{""direction"":""vertical""}","","","0","0","","29-JAN-26 05.25.31.158000 PM","29-JAN-26 05.25.31.158000 PM","system",""
"61","formoney-manage","root","LAYOUT","","{""direction"":""vertical"",""gap"":8}","","","0","0","","26-JAN-26 04.53.18.796000 PM","26-JAN-26 04.53.18.796000 PM","system",""
"62","formoney-manage","grid","GRID","root","{""height"":""100%"",""selectionMode"":""single""}","CostFormoney","","1","0","","26-JAN-26 04.53.18.832000 PM","26-JAN-26 04.53.18.832000 PM","system",""
