"ID","PAGE_CODE","COMPONENT_KEY","RULE_TYPE","RULES","SORT_ORDER","DESCRIPTION","DELETED","CREATE_TIME","UPDATE_TIME","CREATE_BY","UPDATE_BY"
"515","goods-manage","grid","BUTTON","{""items"":[{""action"":""addRow""},{""action"":""copyRow"",""requiresRow"":true},{""action"":""deleteRow"",""requiresRow"":true},{""type"":""separator""},{""action"":""saveGridConfig""},{""type"":""separator""},{""label"":""导出"",""items"":[{""action"":""exportSelected"",""requiresSelection"":true},{""action"":""exportCurrent""},{""action"":""exportAll""},{""type"":""separator""},{""action"":""resetExportConfig""},{""action"":""openHeaderConfig""}]},{""type"":""separator""},{""action"":""save""},{""type"":""separator""},{""action"":""clipboard.copy""},{""action"":""clipboard.paste""}]}","0","","0","29-JAN-26 05.12.14.635000 PM","29-JAN-26 05.12.14.635000 PM","system",""
"13","user-manage","masterGrid","BUTTON","{""items"":[{""action"":""addRow""},{""action"":""deleteRow"",""requiresRow"":true},{""action"":""resetPassword"",""label"":""初始化密码"",""position"":""toolbar"",""requiresRow"":true,""method"":""userService.resetPassword""},{""action"":""save""}]}","0","","0","26-JAN-26 09.53.12.685000 AM","26-JAN-26 09.53.12.685000 AM","system",""
"15","dept-manage","masterGrid","BUTTON","{""items"":[{""action"":""addRow""},{""action"":""deleteRow"",""requiresRow"":true},{""type"":""separator""},{""action"":""save""}]}","0","","0","26-JAN-26 09.53.12.823000 AM","26-JAN-26 09.53.12.823000 AM","system",""
"278","customer-manage","masterGrid","BUTTON","{""items"":[{""action"":""addRow""},{""action"":""copyRow"",""requiresRow"":true},{""action"":""deleteRow"",""requiresRow"":true},{""type"":""separator""},{""action"":""saveGridConfig""},{""type"":""separator""},{""label"":""导出"",""items"":[{""action"":""exportSelected"",""requiresSelection"":true},{""action"":""exportCurrent""},{""action"":""exportAll""},{""type"":""separator""},{""action"":""resetExportConfig""},{""action"":""openHeaderConfig""}]},{""type"":""separator""},{""action"":""save""},{""type"":""separator""},{""action"":""clipboard.copy""},{""action"":""clipboard.paste""}]}","0","","0","26-JAN-26 05.41.10.415000 PM","26-JAN-26 05.41.10.415000 PM","system",""
"279","customer-manage","tranposer","BUTTON","{""items"":[{""action"":""addRow""},{""action"":""copyRow"",""requiresRow"":true},{""action"":""deleteRow"",""requiresRow"":true},{""type"":""separator""},{""action"":""saveGridConfig""},{""type"":""separator""},{""label"":""导出"",""items"":[{""action"":""exportSelected"",""requiresSelection"":true},{""action"":""exportCurrent""},{""action"":""exportAll""},{""type"":""separator""},{""action"":""resetExportConfig""},{""action"":""openHeaderConfig""}]},{""type"":""separator""},{""action"":""save""},{""type"":""separator""},{""action"":""clipboard.copy""},{""action"":""clipboard.paste""}]}","0","","0","26-JAN-26 05.41.10.458000 PM","26-JAN-26 05.41.10.458000 PM","system",""
"142","formoney-manage","grid","BUTTON","{""items"":[{""action"":""addRow""},{""action"":""copyRow"",""requiresRow"":true},{""action"":""deleteRow"",""requiresRow"":true},{""type"":""separator""},{""action"":""saveGridConfig""},{""type"":""separator""},{""label"":""导出"",""items"":[{""action"":""exportSelected"",""requiresSelection"":true},{""action"":""exportCurrent""},{""action"":""exportAll""},{""type"":""separator""},{""action"":""resetExportConfig""},{""action"":""openHeaderConfig""}]},{""type"":""separator""},{""action"":""save""},{""type"":""separator""},{""action"":""clipboard.copy""},{""action"":""clipboard.paste""},{""action"":""SYNC_ERP_RATE"",""label"":""同步ERP汇率"",""position"":""toolbar"",""type"":""primary"",""sql"":""UPDATE T_COST_FORMONEY SET FMRATE = NULL, CREATE_TIME = NULL, UPDATE_TIME = NULL WHERE CREATE_BY = 'system'""}]}","0","","0","26-JAN-26 04.53.18.735000 PM","26-JAN-26 04.53.18.735000 PM","system",""
"522","goods-price-manage","grid","BUTTON","{""items"":[{""action"":""addRow""},{""action"":""copyRow"",""requiresRow"":true},{""action"":""deleteRow"",""requiresRow"":true},{""type"":""separator""},{""action"":""saveGridConfig""},{""type"":""separator""},{""label"":""导出"",""items"":[{""action"":""exportSelected"",""requiresSelection"":true},{""action"":""exportCurrent""},{""action"":""exportAll""},{""type"":""separator""},{""action"":""resetExportConfig""},{""action"":""openHeaderConfig""}]},{""type"":""separator""},{""action"":""save""},{""type"":""separator""},{""action"":""clipboard.copy""},{""action"":""clipboard.paste""}]}","0","","0","29-JAN-26 05.25.31.094000 PM","29-JAN-26 05.25.31.094000 PM","system",""
"497","cost-pinggu","masterGrid","BUTTON","{""items"":[{""action"":""addRow""},{""action"":""copyRow"",""requiresRow"":true},{""action"":""deleteRow"",""requiresRow"":true},{""type"":""separator""},{""action"":""generateFromBom"",""label"":""由BOM生成明细"",""requiresRow"":true,""procedure"":""P_COST_BOM_INSERT"",""params"":[{""source"":""data.id"",""mode"":""IN"",""jdbcType"":""NUMERIC""}]},{""type"":""separator""},{""action"":""saveGridConfig""},{""type"":""separator""},{""action"":""save""},{""type"":""separator""},{""action"":""clipboard.copy""},{""action"":""clipboard.paste""}]}","0","","0","29-JAN-26 10.13.59.632000 AM","29-JAN-26 10.13.59.632000 AM","system",""
"494","cost-pinggu","package","BUTTON","{""items"":[{""action"":""addRow""},{""action"":""copyRow"",""requiresRow"":true},{""action"":""deleteRow"",""requiresRow"":true},{""type"":""separator""},{""action"":""saveGridConfig""},{""type"":""separator""},{""action"":""clipboard.copy""},{""action"":""clipboard.paste""}]}","0","","0","28-JAN-26 05.27.14.576000 PM","28-JAN-26 05.27.14.576000 PM","system",""
"493","cost-pinggu","material","BUTTON","{""items"":[{""action"":""addRow""},{""action"":""copyRow"",""requiresRow"":true},{""action"":""deleteRow"",""requiresRow"":true},{""type"":""separator""},{""action"":""saveGridConfig""},{""type"":""separator""},{""action"":""clipboard.copy""},{""action"":""clipboard.paste""}]}","0","","0","28-JAN-26 05.27.13.901000 PM","28-JAN-26 05.27.13.901000 PM","system",""
