"ID","ROLE_ID","PAGE_CODE","BUTTON_POLICY","COLUMN_POLICY","ROW_POLICY"
"62","3","goods-manage","[""*""]","",""
"65","3","cost-pinggu","[""*""]","{""masterGrid"":{""id"":{""visible"":false},""goodsname"":{""visible"":false,""editable"":false},""goodsnameEn"":{""visible"":false,""editable"":false},""strength"":{""visible"":false,""editable"":false},""customname"":{""visible"":false,""editable"":false},""country"":{""visible"":false,""editable"":false},""projectno"":{""visible"":false,""editable"":false},""apexPl"":{""visible"":false,""editable"":false},""annualQty"":{""visible"":false,""editable"":false},""yield"":{""visible"":false,""editable"":false},""pPerpack"":{""visible"":false,""editable"":false},""sPerback"":{""visible"":false,""editable"":false},""xPerback"":{""visible"":false,""editable"":false},""packtype"":{""visible"":false,""editable"":false},""totalYl"":{""visible"":false},""totalFl"":{""visible"":false},""yMl"":{""visible"":false},""ySale"":{""visible"":false},""fmname"":{""visible"":false,""editable"":false},""fmrate"":{""visible"":false,""editable"":false}}}",""
"6","3","home","[""*""]","",""
"23","3","customer-manage","[""*""]","",""
"63","3","goods-price-manage","[""*""]","",""
"98","3","cost","[""*""]","",""
"119","3","user-manage","[""*""]","",""
"117","3","system","[""*""]","",""
"21","3","formoney-manage","[""*""]","",""
"118","3","permission","[""*""]","",""
"120","3","dept-manage","[""*""]","",""
